あーいん	あーいん 〈合う〉【活】あーたん、あーらん、
くとぅわいん	くとぅわいん 〈断る〉【活】くとぅわたん、
くなびーん	くなびーん 〈比べる〉【活】くなびたん、く
くに	くに 〈村、町、国〉 【例】ゑーまー うちな
くとぅわき	くとぅわき 〈訳を言って断ること〉
くとぅわき すん	くとぅわき すん 〈陳謝する〉【活】〜さ
ぐとーん	ぐとーん 〈ようだ〉 【例】はなぬ ぐとぅ
くねーいん	くねーいん 〈こらえる、許す〉【活】くねー
くにちょーでー	くにちょーでー 〈血縁関係のない似ている
くねーだ んし	くねーだ んし 〈近頃、最近〉 【例】く
くにぶ	くにぶ 〈ミカン〉 【例】うちなーぬ くに
くば	くば 〈クバ〉 【例】くばぬ ふぁーさーに く
くにんだ	くにんだ 〈久米村〉 【例】くにんだんかえ
くばめーすん	くばめーすん 〈節約する〉【活】くばめーち
くぬむん	くぬむん 〈考案する〉【活】くぬだん、くぬま
くび	くび 〈首、襟〉 【例】ちんぬ くび のーしぇ
くぬ ゆちゃ	くぬ ゆちゃ 〈この歳〉 【例】わんが 
くび がー	くび がー 〈うなじ〉 【例】あぬ っちょ
くぬ ぐるんし	くぬ ぐるんし 〈この頃〉 【例】やーぬ
くび	くび 〈壁〉 【例】あまくまぬ やーぬ くび
くふぁ ばにー すん	くふぁ ばにー すん 〈きっぱり拒絶す
くふぃな	くふぃな 〈この大きさの、こんなに大きな〉
くふぁいん	くふぁいん 〈固くなる、仲が悪くなる〉【活】
くぶしみ	くぶしみ 〈イカの一種〉 【例】くぶしめー
くふぁ でーさー	くふぁ でーさー 〈クファーデーサー〉
くぶん	くぶん 〈窪地〉 【例】わったーやーや くぶ
くまいん	くまいん 〈家にこもる〉【活】くまたん、くま
くふぁ ぱっちらー	くふぁ ぱっちらー 〈固まるさま〉 【例】
くま〜	くま〜〈細かな〉 【参】くまさん（つつましい）
くま きー	くま きー 〈細かい切れっ端〉 【例】わら
くみ んちゅん	くみ んちゅん 〈汲み入れる〉【活】〜んち
くま ぐまーぬ くとぅ	くま ぐまーぬ くとぅ 〈詳細な事柄〉
ぐま〜	ぐま〜〈小さな〉 【参】ぐまさん（小さい）か
ぐま ぢけーぐゎー	ぐま ぢけーぐゎー 〈小銭〉 【例】まぎ
くむい	くむい 〈池〉 【例】りゅーたんぬ くむいん
くま むてぃ	くま むてぃ 〈この側〉 【例】くまむてぃ
くむいん	くむいん 〈曇る〉 【例】がらすぬ くむと
くむぢゃー	くむぢゃー 〈あばたの者〉 【例】にくんぬ
くみ	くみ 〈米〉 【例】くみぬ ちりとーくとぅ 
くむん	くむん 〈切り開く〉【活】くだん、くまん、く
くみーん	くみーん 〈押し込める〉【活】くみたん、くみ
くむん	くむん 〈組む、履く、編む〉【活】くだん、く
くみ	くみ 〈組み〉 【例】じゅーばくぬ ちゅくみ
くみ をぅどぅい	くみ をぅどぅい 〈組踊り〉 【例】くみを
くみ んちゅん	くみ んちゅん 〈踏み入れる〉【活】〜んち
くめーきーん	くめーきーん 〈倹約する、丁寧にする、く
くらー	くらー 〈雀〉 【例】くらーや うふやーにん
くらし がた	くらし がた 〈暮らし方、生計〉 【例】ふ
くらじょーりーん	くらじょーりーん 〈薄暗くなる〉【活】く
くらしん	くらしん 〈真っ暗〉 【例】くらしんみー 
くるー	くるー 〈黒、黒いもの、反対派〉 【例】くぬ
くらすん	くらすん 〈暮らす〉【活】くらちゃん、くらさ
ぐるくん	ぐるくん 〈たかさご〉 【例】ぐるくのー 
ぐり	ぐり 〈沈殿物、粕〉 【例】ちゃーぬ／んーす
くるすん	くるすん 〈懲らしめる、（動物を）殺す〉【活】
くりー まやー	くりー まやー 〈さかりのついた猫〉
ぐりー	ぐりー 〈お辞儀〉 【例】っちゅぬ めーから
くるち	くるち 〈黒木〉 【例】くるちぇー さんしん
くり かー	くり かー 〈この辺り〉 【例】くりかーん
くるばすん	くるばすん 〈転ばす〉【活】くるばちゃん、く
〜くる	〜くる 〈自身で〉 【例】わんくる（私自身で）、
くるばしぇー	くるばしぇー 〈遊びの一種〉 【例】かた
くるぶん	くるぶん 〈転ぶ〉【活】くるだん、くるばん、
くん たばいん	くん たばいん 〈強く縛る〉【活】〜たばた
くるべー	くるべー 〈黒カビ〉 【例】ぬいぢき しぇ
くるむん	くるむん 〈黒ずむ〉【活】くるだん、くるむ
くん ちかいん	くん ちかいん 〈こき使う〉【活】〜ちかた
くるん げーい	くるん げーい 〈衣替え〉 【例】うちな
くんぐとーるー	くんぐとーるー 〈これと似たもの〉 【例】
くんぐゎち ちくじゃき	くんぐゎち ちくじゃき 〈9 月 9 日の菊酒〉 【例】くんぐゎち ちくじゃけー く
くん〜	くん〜〈強く、勢いよく〉
くん ちきーん	くん ちきーん 〈踏みつける〉【活】〜ちき
くん ちゃーすん	くん ちゃーすん 〈かき消す〉【活】〜ちゃ
くん ちゃきーん	くん ちゃきーん 〈（水、湯を）ひっかけ
くん しばいん	くん しばいん 〈強く縛る〉【活】〜しばた
くん しみーん	くん しみーん 〈強く締める〉【活】〜しみ
くん のーすん	くん のーすん 〈持ち直す〉【活】〜のーち
くん ちゅーいん	くん ちゅーいん 〈強くなる、立って歩け
くん のーいん	くん のーいん 〈立ち直る〉【活】〜のーた
くん ぱいん	くん ぱいん 〈踏ん張る〉【活】〜ぱたん、〜
くん とーすん	くん とーすん 〈踏み倒す〉【活】〜とーち
くん とぅいん	くん とぅいん 〈横取りする〉【活】〜とぅ
くん はんすん	くん はんすん 〈踏み外す〉【活】〜はんち
くん ぬぢゅん	くん ぬぢゅん 〈追い越す〉【活】〜ぬぢゃ
くんじょー	くんじょー 〈悪い根性〉 【例】ありんかい
くんだ	くんだ 〈こむら〉 【例】ゆなか くんだあが
くんぢゃん	くんぢゃん 〈国頭〉 【例】くんぢゃんぬ 
くんち	くんち 〈元気、体力〉 【例】うちなーぬ な
くんぢ	くんぢ 〈紺地〉 【例】くがにーぬ しるっし
くんちーん	くんちーん 〈横切って近道をする〉【活】く
くんぢゅん	くんぢゅん 〈くびる、縛る、拘束する〉【活】
くんち うじにー	くんち うじにー 〈栄養食〉 【例】んー
くんぺん	くんぺん 〈焼き菓子の一種〉 【例】くんぺ
くんちゃー	くんちゃー 〈乞食〉 【例】くんちゃーぬ 
くんぴーん	くんぴーん 〈踏みつぶす〉【活】くんぴたん、
くんぴらかすん	くんぴらかすん 〈踏みつける〉【活】くん
ぐんぼー	ぐんぼー 〈ゴボウ〉 【例】ぐんぼー びさ
けー	けー 〈貝〉 【例】ぶらげーや けーぬ てぃー
けー／うけー	けー／うけー 〈粥〉 【例】んかしぇー 
げー	げー 〈反抗、口答え〉 【例】うや／しーじゃ
けー〜	けー〜〈さっと（する）、いつの間に（状態変
けー るー	けー るー 〈交換、交代〉 【例】あかーと
けー しぢゅん	け ー   し ぢ ゅ ん 〈す で に 死 ん で し ま う〉
けー とぅいん	けー とぅいん 〈ひったくる、横取りする〉
けーうち	けーうち 〈小皿〉 【例】うぬ あたい そ
けーすん	けーすん 〈返す、帰す、耕す〉【活】けーちゃ
けー まーい まーい すん	けー まーい まーい すん 〈廻って来
けーさー	けーさー 〈（何度も）くり返すこと〉 【例】
けーいん	けーいん 〈返る／帰る〉【活】けーたん、けー
けーいん	けーいん 〈換える〉【活】けーたん、けーら
けーし まー	けーし まー 〈裏返し〉 【例】っやーや 
けーし むどぅし	けーし むどぅし 〈おつり〉 【例】なー
けーな	けーな 〈腕〉 【例】っんぶむん むちぢゅー
けーりーん	けーりーん 〈ひっくり返る〉【活】けーった
けーりん くるびん すん	けーりん くるびん すん 〈転げ回る〉
けーん	けーん 〈〜回、度〉 【例】ちゅけーん（１回）、
げーん	げーん 〈魔除け〉 【例】ぐしち みーち た
けーらすん	けーらすん 〈ひっくり返す〉【活】けーらち
けんらー	けんらー 〈威張る者〉 【例】けんらーや 
けーらし くるばし すん	けーらし くるばし すん 〈ひっくり返
こーいむん	こーいむん 〈買い物〉 【例】うさきーぬ 
こーい むん さー	こーい むん さー 〈買い物をする人、買
こーいん ぐぇー	こーいん ぐぇー 〈買い食い〉 【例】なま
こーさー	こーさー 〈軽いげんこつ〉 【例】しんでぃ
こーがーきー	こーがーきー 〈頬かむり〉 【例】あまを
こーぐ	こーぐ 〈腰〉 【例】こーぐ ぬばち ゐら
こーじ	こーじ 〈カビ〉 【例】なちぬ あちさるばす
こーじん すん	こーじん すん 〈告げ口をする〉【活】〜さ
こーこーな むん	こーこーな むん 〈孝行者〉 【例】う
こーとぅ	こーとぅ 〈爪先、手の卑語〉 【例】うちな
こーる	こーる 〈香炉〉 【例】うちなーぐゆみぬ ち
こーれー ぐす	こーれー ぐす 〈唐辛子〉 【例】むぬ か
こーるー	こーるー 〈駒〉 【例】んかしぬ うぃきがわ
くゎー、っくゎ	くゎー、っくゎ 〈過ぎ〉 【例】ちゃぬよ
くゎーすん	くゎーすん 〈（口紅などを）塗り込む、（香水
〜ぐゎー	〜ぐゎー 〈指小辞〉 【例】あみぐゎーぬ 
くゎーぎ	くゎーぎ 〈桑の木〉 【例】くゎーぎぬ み
くゎじ	くゎじ 〈火事〉 【例】んかしぇー きーやー
くゎーすん	くゎーすん 〈食わせる〉【活】くゎーちゃん、
〜ぐゎー しぇー	〜ぐゎー しぇー 〈〜ごっこ〉 【例】いく
くゎーすん	くゎーすん 〈挟み込む〉【活】くゎーちゃん、
くゎっくぃーん	くゎっくぃーん 〈隠れる〉【活】くゎっく
くゎーりーん	くゎーりーん 〈食われる〉【活】くゎーった
くゎいん	くゎいん 〈喰らう〉【活】くゎたん、くゎー
くゎっくぃ ぐとぅ	くゎっくぃ ぐとぅ 〈隠し事〉 【例】わ
くゎっくぃん とーれー	くゎっくぃん とーれー 〈かくれんぼ〉
〜ぐゎち	〜ぐゎち 〈〜月（がつ）〉 【例】そーぐゎち
くゎっくゎすん	くゎっくゎすん 〈（見えないように）隠す〉
くゎっちー	くゎっちー 〈ごちそう〉 【例】くゎっちー
